symbol,ticker,market,currency,yahoo_symbol,figi
06N.PL,06N,PL,PLN,06N.WA,BBG000C3TSN1
08N.PL,08N,PL,PLN,08N.WA,BBG000CJ4XH9
11B.PL,11B,PL,PLN,11B.WA,BBG0018708N0
1AT.PL,1AT,PL,PLN,1AT.WA,BBG0088LCR59
3RG.PL,3RG,PL,PLN,3RG.WA,BBG0029H2DW2
4MS.PL,4MS,PL,PLN,4MS.WA,BBG00N6LB245
AAT.PL,AAT,PL,PLN,AAT.WA,BBG000C2J2P9
ABE.PL,ABE,PL,PLN,ABE.WA,BBG000D2ZHY7
ABS.PL,ABS,PL,PLN,ABS.WA,BBG000TGC1K4
ACG.PL,ACG,PL,PLN,ACG.WA,BBG001Y6NBF0
ACP.PL,ACP,PL,PLN,ACP.WA,BBG000F6VHT6
ACT.PL,ACT,PL,PLN,ACT.WA,BBG000Q1V5L9
ADV.PL,ADV,PL,PLN,ADV.WA,BBG0099RFPN4
ADX.PL,ADX,PL,PLN,ADX.WA,BBG0055XDRZ8
AGO.PL,AGO,PL,PLN,AGO.WA,BBG000F745M7
AGT.PL,AGT,PL,PLN,AGT.WA,BBG00175T854
ALE.PL,ALE,PL,PLN,ALE.WA,BBG00XC93616
ALG.PL,ALG,PL,PLN,ALG.WA,BBG003M0FJW5
ALI.PL,ALI,PL,PLN,ALI.WA,BBG006T0B8R5
ALL.PL,ALL,PL,PLN,ALL.WA,BBG00256LV13
ALR.PL,ALR,PL,PLN,ALR.WA,BBG003M95W30
AMB.PL,AMB,PL,PLN,AMB.WA,BBG000GBBF10
AMC.PL,AMC,PL,PLN,AMC.WA,BBG000CJ7SW0
ANR.PL,ANR,PL,PLN,ANR.WA,BBG00YT5MV90
APE.PL,APE,PL,PLN,APE.WA,BBG004YW3YZ7
APL.PL,APL,PL,PLN,APL.WA,BBG000F6PG60
APN.PL,APN,PL,PLN,APN.WA,BBG000G636L8
APR.PL,APR,PL,PLN,APR.WA,BBG00CVQSKH8
