symbol,description,asset_class,category_name,group_name,currency,currency_profit,ticker,market,market_name,precision,contract_size,leverage,long_only,short_selling,margin_mode,instrument_type
06N.PL,MAGNA POLONIA SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,06N,PL,Poland (GPW),,,,,,,
08N.PL,OCTAVA SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,08N,PL,Poland (GPW),,,,,,,
11B.PL,11 BIT STUDIOS SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,11B,PL,Poland (GPW),,,,,,,
1AT.PL,ATAL SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,1AT,PL,Poland (GPW),,,,,,,
3RG.PL,3R GAMES SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,3RG,PL,Poland (GPW),,,,,,,
4MS.PL,4MASS SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,4MS,PL,Poland (GPW),,,,,,,
AAT.PL,ALTA SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,AAT,PL,Poland (GPW),,,,,,,
ABE.PL,AB SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,ABE,PL,Poland (GPW),,,,,,,
ABS.PL,ASSECO BUSINESS SOLUTIONS SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,ABS,PL,Poland (GPW),,,,,,,
ACG.PL,AC SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,ACG,PL,Poland (GPW),,,,,,,
ACP.PL,ASSECO POLAND SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,ACP,PL,Poland (GPW),,,,,,,
ACT.PL,ACTION SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,ACT,PL,Poland (GPW),,,,,,,
ADV.PL,ADIUVO INVESTMENTS SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,ADV,PL,Poland (GPW),,,,,,,
ADX.PL,ADATEX SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,ADX,PL,Poland (GPW),,,,,,,
AGO.PL,AGORA SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,AGO,PL,Poland (GPW),,,,,,,
AGT.PL,AGROTON PUBLIC LIMITED,STOCK,STC,GPW Glowny Rynek,PLN,PLN,AGT,PL,Poland (GPW),,,,,,,
ALE.PL,ALLEGRO.EU S.A.,STOCK,STC,GPW Glowny Rynek,PLN,PLN,ALE,PL,Poland (GPW),,,,,,,
ALG.PL,ALL IN! GAMES SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,ALG,PL,Poland (GPW),,,,,,,
ALI.PL,ALTUS SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,ALI,PL,Poland (GPW),,,,,,,
ALL.PL,AILLERON SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,ALL,PL,Poland (GPW),,,,,,,
ALR.PL,ALIOR BANK SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,ALR,PL,Poland (GPW),,,,,,,
AMB.PL,AMBRA SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,AMB,PL,Poland (GPW),,,,,,,
AMC.PL,AMICA SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,AMC,PL,Poland (GPW),,,,,,,
