symbol,isin
11B.PL,PL11BTS00015
3RG.PL,PLGRNKT00019
4MS.PL,PL4MASS00011
IRL.PL,LT0000128621
NTU.PL,LT0000131872
ABE.PL,PLAB00000019
ACG.PL,PLACSA000014
ACT.PL,PLACTIN00018
ADX.PL,PLPIK0000018
ADV.PL,PLADVIV00015
AGO.PL,PLAGORA00067
AGT.PL,CY0101062111
ALL.PL,PLWNDMB00010
AWM.PL,PLAIRWY00017
ALR.PL,PLALIOR00045
ALG.PL,PLSNTFG00017
ALE.PL,LU2237380790
AAT.PL,PLTRNSU00013
ALI.PL,PLATTFI00018
AMB.PL,PLAMBRA00013
AMC.PL,PLAMICA00010
EAT.PL,ES0105375002
ANR.PL,PLANSWR00019
APT.PL,PLAPATR00018
APN.PL,PLAPLS000016
APE.PL,PLAPSEN00011
ARH.PL,PLARHCM00016
ATC.PL,PLARTPR00012
ARL.PL,PLARLEN00012
ART.PL,PLARTFX00011
SFG.PL,EE3100001751
ASB.PL,CY1000031710
ASM.PL,PLASMGR00014
ABS.PL,PLABS0000018
ACP.PL,PLSOFTB00016
ASE.PL,PLASSEE00014
AST.PL,NL0000686509
1AT.PL,PLATAL000046
ATD.PL,PLATMSI00016
ATP.PL,PLATLPL00018
ATS.PL,EE0000000552
ATG.PL,PLATM0000021
ATR.PL,PLATREM00017
APR.PL,PLATPRT00018
SAN.PL,ES0113900J37
BHW.PL,PLBH00000012
MIL.PL,PLBIG0000016
BOS.PL,PLBOS0000019
PEO.PL,PLPEKAO00016
BBD.PL,PLNFI1200018
BFT.PL,PLBNFTS00018
BST.PL,PLBEST000010
BCM.PL,PLBTCOM00016
BCS.PL,PLA340200015
BIP.PL,PLBIOPL00013
BCX.PL,PLBCLTX00019
BMX.PL,PLBIOMX00015
BIO.PL,PLBIOTN00029
BLO.PL,PLBLOBR00014
BNP.PL,PLBGZ0000010
BBT.PL,PLBMBIT00010
BRS.PL,PLBRSZW00011
BOW.PL,PLBOWM000019
BDX.PL,PLBUDMX00013
BDF.PL,PLCPTLP00015
BMC.PL,PLBMECH00012
CAP.PL,PLGTBCK00297
CTX.PL,PLCPTRT00014
CSR.PL,PLCSPAM00017
CAV.PL,PLCVTNH00040
CDR.PL,PLOPTTC00011
CDL.PL,PLCDRL000043
CLN.PL,PLCLNPH00015
ENE.PL,PLENLMD00017
CEZ.PL,CZ0005112300
CFI.PL,PLINTKS00013
CIG.PL,PLCTINT00018
CTS.PL,EE3100126368
CCE.PL,PLKAREN00014
CLD.PL,PLCLDTC00019
CLE.PL,LU0646112838
COG.PL,PLCNTSL00014
CLC.PL,PLSTIGR00012
CMP.PL,PLCMP0000017
CPL.PL,PLCOMPR00010
CPR.PL,PLPZBDT00013
CPD.PL,PLCELPD00013
CPI.PL,AT0000A21KS2
OPG.PL,LU0122624777
CRJ.PL,PLCRPJR00019
CRI.PL,PLCRTCH00017
CRQ.PL,PLCTHQM00018
CBF.PL,PLR220000018
CPS.PL,PLCFRPT00013
CZT.PL,PLCRWTR00022
DAD.PL,PLDADEL00013
DAT.PL,PLPILAB00012
DBE.PL,PLDBENR00017
DCR.PL,PLDECOR00013
DEK.PL,PLDEKPL00032
DEL.PL,PLDELKO00019
DVL.PL,PLLCCRP00017
DGA.PL,PLDGA0000019
DIA.PL,PLDGNST00012
DIG.PL,PL4FNMD00013
DTR.PL,PLSARE000013
DNP.PL,PLDINPL00011
DOM.PL,PLDMDVL00012
DMG.PL,PLGLBLC00011
DGE.PL,PLDRG0000013
ECB.PL,PLECBDZ00013
ECH.PL,PLECHPS00019
EDI.PL,PLEDINV00014
EEX.PL,PLEKEP000019
ELT.PL,PLELEKT00016
EKP.PL,EE0000000453
ENA.PL,PLENEA000013
EST.PL,HU0000089198
ENG.PL,PLENERG00022
