date,open,high,low,close,volume
2021-09-17,727.0,737.0,720.0,736.0,792
2021-09-20,722.0,730.0,699.0,730.0,2029
2021-09-21,721.0,721.0,688.0,700.0,1260
2021-09-22,700.0,720.0,693.0,702.0,460
2021-09-23,708.0,748.0,701.0,748.0,552
2021-09-24,738.0,738.0,716.0,730.0,379
2021-09-27,740.0,745.0,712.0,735.0,1076
2021-09-28,739.0,739.0,720.0,737.0,335
2021-09-29,738.0,738.0,720.0,729.0,466
2021-09-30,718.0,730.0,712.0,730.0,727
2021-10-01,718.0,745.0,705.0,739.0,867
2021-10-04,739.0,766.0,722.0,752.0,1309
2021-10-05,758.0,758.0,703.0,738.0,3011
2021-10-06,726.0,734.0,717.0,726.0,1055
2021-10-07,720.0,728.0,714.0,720.0,961
2021-10-08,718.0,739.0,716.0,739.0,787
2021-10-11,739.0,739.0,717.0,720.0,462
2021-10-12,723.0,723.0,697.0,697.0,1488
2021-10-13,697.0,709.0,692.0,700.0,1464
2021-10-14,700.0,705.0,677.0,700.0,1915
2021-10-15,699.0,699.0,682.0,694.0,676
2021-10-18,691.0,691.0,676.0,685.0,1253
2021-10-19,682.0,683.0,670.0,683.0,875
2021-10-20,683.0,704.0,672.0,702.0,2089
2021-10-21,702.0,730.0,702.0,728.0,1347
2021-10-22,728.0,734.0,708.0,734.0,617
2021-10-25,734.0,734.0,714.0,730.0,515
2021-10-26,725.0,728.0,717.0,727.0,694
2021-10-27,729.0,729.0,695.0,717.0,1107
2021-10-28,715.0,723.0,701.0,722.0,419
2021-10-29,714.0,730.0,695.0,730.0,1398
2021-11-02,713.0,722.0,706.0,721.0,347
2021-11-03,713.0,720.0,704.0,720.0,865
2021-11-04,714.0,734.0,712.0,730.0,520
2021-11-05,725.0,748.0,722.0,748.0,2374
2021-11-08,747.0,770.0,742.0,761.0,1228
2021-11-09,761.0,762.0,748.0,756.0,302
2021-11-10,756.0,756.0,730.0,744.0,531
2021-11-12,731.0,750.0,731.0,750.0,281
2021-11-15,749.0,760.0,744.0,744.0,185
2021-11-16,752.0,794.0,752.0,769.0,5407
2021-11-17,770.0,786.0,761.0,764.0,728
2021-11-18,765.0,820.0,737.0,819.0,3041
2021-11-19,820.0,827.0,787.0,787.0,868
2021-11-22,787.0,816.0,772.0,792.0,1096
2021-11-23,788.0,788.0,726.0,778.0,3324
2021-11-24,778.0,790.0,754.0,790.0,915
2021-11-25,790.0,794.0,766.0,794.0,806
2021-11-26,779.0,779.0,754.0,775.0,1250
2021-11-29,775.0,793.0,760.0,793.0,761
2021-11-30,785.0,789.0,770.0,778.0,820
2021-12-01,782.0,794.0,778.0,794.0,527
2021-12-02,794.0,804.0,785.0,799.0,851
2021-12-03,800.0,810.0,792.0,810.0,1615
2021-12-06,810.0,815.0,800.0,810.0,856
2021-12-07,810.0,813.0,796.0,800.0,711
2021-12-08,797.0,804.0,793.0,795.0,480
2021-12-09,806.0,806.0,787.0,789.0,889
2021-12-10,789.0,789.0,758.0,767.0,1096
2021-12-13,772.0,794.0,749.0,794.0,1016
2021-12-14,790.0,800.0,756.0,787.0,1139
2021-12-15,787.0,790.0,741.0,764.0,1600
2021-12-16,750.0,775.0,750.0,760.0,787
2021-12-17,761.0,766.0,735.0,750.0,821
2021-12-20,740.0,758.0,730.0,758.0,1267
2021-12-21,758.0,770.0,735.0,770.0,1124
2021-12-22,770.0,770.0,754.0,758.0,658
2021-12-23,758.0,770.0,724.0,770.0,4803
2021-12-27,770.0,770.0,745.0,750.0,1173
2021-12-28,750.0,756.0,732.0,747.0,2409
2021-12-29,745.0,770.0,739.0,770.0,620
2021-12-30,768.0,795.0,761.0,795.0,659
2022-01-03,795.0,822.0,795.0,799.0,1391
2022-01-04,800.0,809.0,796.0,802.0,3206
2022-01-05,800.0,800.0,788.0,793.0,211
2022-01-07,792.0,806.0,785.0,804.0,443
2022-01-10,808.0,843.0,808.0,830.0,2804
2022-01-11,836.0,848.0,832.0,846.0,1957
2022-01-12,850.0,858.0,835.0,843.0,1845
2022-01-13,843.0,854.0,824.0,843.0,1574
2022-01-14,843.0,852.0,836.0,845.0,461
2022-01-17,840.0,847.0,829.0,844.0,1844
2022-01-18,844.0,872.0,830.0,859.0,1635
2022-01-19,854.0,858.0,830.0,840.0,1874
2022-01-20,830.0,840.0,820.0,821.0,801
2022-01-21,820.0,820.0,791.0,801.0,799
2022-01-24,800.0,808.0,745.0,762.0,6074
2022-01-25,765.0,789.0,762.0,769.0,1767
2022-01-26,766.0,788.0,761.0,770.0,1581
2022-01-27,760.0,760.0,740.0,753.0,1152
2022-01-28,750.0,754.0,743.0,750.0,389
2022-01-31,750.0,786.0,750.0,774.0,1182
2022-02-01,785.0,810.0,776.0,790.0,2429
2022-02-02,792.0,809.0,789.0,795.0,920
2022-02-03,801.0,837.0,790.0,810.0,1045
2022-02-04,818.0,819.0,777.0,795.0,1073
2022-02-07,795.0,800.0,779.0,789.0,672
2022-02-08,788.0,798.0,784.0,794.0,651
2022-02-09,780.0,813.0,779.0,807.0,706
2022-02-10,807.0,810.0,793.0,807.0,793
2022-02-11,806.0,817.0,796.0,809.0,580
2022-02-14,798.0,803.0,768.0,783.0,1486
2022-02-15,780.0,816.0,772.0,808.0,904
2022-02-16,815.0,818.0,798.0,805.0,1425
2022-02-17,806.0,810.0,777.0,777.0,1135
2022-02-18,775.0,782.0,750.0,750.0,1768
2022-02-21,752.0,758.0,726.0,739.0,1918
2022-02-22,725.0,792.0,725.0,789.0,1204
2022-02-23,796.0,810.0,772.0,772.0,2398
2022-02-24,730.0,765.0,690.0,726.0,3446
2022-02-25,726.0,758.0,715.0,754.0,2414
2022-02-28,749.0,779.0,730.0,770.0,1127
2022-03-01,775.0,776.0,740.0,745.0,261
2022-03-02,741.0,741.0,712.0,731.0,928
2022-03-03,731.0,734.0,720.0,728.0,325
2022-03-04,720.0,720.0,681.0,694.0,1003
2022-03-07,680.0,690.0,632.0,668.0,2220
2022-03-08,652.0,684.0,643.0,644.0,1273
2022-03-09,670.0,694.0,668.0,690.0,1270
2022-03-10,692.0,710.0,683.0,691.0,599
2022-03-11,691.0,700.0,688.0,698.0,667
2022-03-14,698.0,703.0,684.0,688.0,328
2022-03-15,695.0,700.0,668.0,700.0,455
2022-03-16,699.0,718.0,680.0,696.0,1379
2022-03-17,700.0,714.0,681.0,714.0,521
2022-03-18,706.0,716.0,690.0,700.0,478
2022-03-21,693.0,712.0,687.0,712.0,315
2022-03-22,710.0,730.0,701.0,720.0,616
2022-03-23,722.0,738.0,710.0,710.0,1164
2022-03-24,710.0,729.0,700.0,729.0,228
2022-03-25,721.0,738.0,721.0,738.0,241
2022-03-28,738.0,738.0,713.0,730.0,309
2022-03-29,729.0,735.0,714.0,716.0,318
2022-03-30,720.0,728.0,716.0,716.0,185
2022-03-31,715.0,715.0,701.0,707.0,346
2022-04-01,705.0,734.0,699.0,734.0,596
2022-04-04,733.0,733.0,715.0,730.0,300
2022-04-05,728.0,736.0,720.0,736.0,341
2022-04-06,737.0,737.0,706.0,723.0,681
2022-04-07,710.0,730.0,703.0,730.0,469
2022-04-08,722.0,749.0,707.0,749.0,838
2022-04-11,790.0,794.0,730.0,741.0,1605
2022-04-12,741.0,741.0,710.0,724.0,717
2022-04-13,715.0,717.0,693.0,711.0,590
2022-04-14,710.0,723.0,698.0,714.0,592
2022-04-19,712.0,712.0,692.0,706.0,601
2022-04-20,700.0,700.0,682.0,690.0,242
2022-04-21,685.0,699.0,676.0,681.0,339
2022-04-22,681.0,717.0,672.0,700.0,609
2022-04-25,672.0,688.0,652.0,688.0,847
2022-04-26,676.0,687.0,655.0,668.0,525
