date,open,high,low,close,volume
2021-09-17,223.0,223.0,217.0,217.0,2624
2021-09-20,218.0,219.5,207.0,209.0,3207
2021-09-21,209.5,215.0,205.0,209.0,3054
2021-09-22,210.0,224.0,209.0,221.0,1683
2021-09-23,221.0,245.0,217.0,237.0,11037
2021-09-24,238.0,246.5,231.5,240.0,9256
2021-09-27,240.0,240.0,235.0,240.0,3657
2021-09-28,240.0,246.5,239.0,246.0,2970
2021-09-29,244.5,244.5,236.0,240.0,2137
2021-09-30,241.0,244.0,236.0,237.5,3200
2021-10-01,237.5,246.0,232.0,242.0,19015
2021-10-04,244.0,244.0,231.5,231.5,3488
2021-10-05,232.5,236.5,217.5,234.0,4636
2021-10-06,237.0,237.0,221.0,226.5,3653
2021-10-07,227.5,234.5,223.0,234.5,2409
2021-10-08,234.0,239.0,227.0,236.0,3651
2021-10-11,238.5,240.0,234.0,235.0,4884
2021-10-12,235.0,239.0,235.0,239.0,2646
2021-10-13,239.0,246.5,231.5,246.0,3400
2021-10-14,246.0,246.5,239.0,245.0,7396
2021-10-15,245.0,254.0,236.0,240.0,19602
2021-10-18,240.0,254.0,238.0,254.0,7029
2021-10-19,254.0,260.0,248.0,259.0,5069
2021-10-20,259.5,259.5,250.5,253.5,3004
2021-10-21,253.0,258.0,252.5,254.0,5610
2021-10-22,257.0,257.0,239.0,241.5,4409
2021-10-25,242.0,252.0,242.0,251.0,2250
2021-10-26,252.0,253.5,245.0,250.5,3232
2021-10-27,251.5,252.0,247.0,251.0,4005
2021-10-28,250.0,250.0,238.0,241.5,1604
2021-10-29,241.0,242.0,234.0,242.0,2279
2021-11-02,242.0,248.5,236.5,239.5,2517
2021-11-03,239.5,239.5,231.5,238.5,2016
2021-11-04,239.5,246.5,233.0,246.0,2188
2021-11-05,243.5,248.0,242.0,244.0,1211
2021-11-08,242.5,247.5,235.5,242.0,4480
2021-11-09,236.0,245.5,235.0,242.5,1406
2021-11-10,244.5,244.5,237.0,243.5,5241
2021-11-12,240.0,243.0,236.5,236.5,516
2021-11-15,236.5,246.0,232.0,245.0,2638
2021-11-16,240.0,250.0,236.0,249.0,7383
2021-11-17,249.5,256.5,245.5,252.0,2619
2021-11-18,255.0,255.0,236.0,236.5,3260
2021-11-19,236.5,244.0,234.5,240.0,3898
2021-11-22,237.0,244.0,232.0,239.5,1694
2021-11-23,239.0,241.0,226.0,232.0,5469
2021-11-24,232.0,232.0,220.5,221.0,6100
2021-11-25,221.0,227.5,215.5,227.0,1822
2021-11-26,225.0,225.0,208.5,217.5,8401
2021-11-29,218.0,223.0,202.0,205.5,7636
2021-11-30,204.5,209.0,198.0,209.0,6835
2021-12-01,207.0,210.0,206.0,208.0,6202
2021-12-02,206.5,209.0,203.0,209.0,3346
2021-12-03,208.0,213.5,207.0,211.0,9821
2021-12-06,213.5,215.0,207.0,215.0,5057
2021-12-07,214.5,218.0,211.5,212.0,2881
2021-12-08,212.0,223.0,212.0,220.0,2010
2021-12-09,222.0,224.5,205.0,205.0,3991
2021-12-10,205.5,209.5,203.0,205.0,4432
2021-12-13,207.0,208.0,199.0,199.0,2606
2021-12-14,198.60000610351562,198.60000610351562,190.60000610351562,192.60000610351562,5652
2021-12-15,192.1999969482422,199.1999969482422,190.0,191.1999969482422,4417
2021-12-16,193.0,199.39999389648438,192.0,199.39999389648438,1799
