date,open,high,low,close,volume
2021-09-17,55.5,57.0,55.5,57.0,379
2021-09-20,56.5,56.5,55.0,55.0,1275
2021-09-21,56.5,56.5,56.5,56.5,145
2021-09-22,55.5,55.5,55.5,55.5,62
2021-09-23,56.0,56.0,55.0,55.0,100
2021-09-24,55.0,55.0,55.0,55.0,0
2021-09-27,56.5,56.5,56.5,56.5,10
2021-09-28,56.5,56.5,55.0,55.0,300
2021-09-29,55.0,55.0,55.0,55.0,134
2021-09-30,56.5,60.0,56.5,59.0,1716
2021-10-01,58.0,58.0,57.0,58.0,279
2021-10-04,58.0,58.0,58.0,58.0,0
2021-10-05,58.0,58.0,58.0,58.0,22
2021-10-06,56.0,56.0,55.0,56.0,930
2021-10-07,55.0,56.5,55.0,56.5,151
2021-10-08,56.5,56.5,56.5,56.5,41
2021-10-11,56.0,56.5,56.0,56.5,75
2021-10-12,56.5,56.5,55.5,56.0,67
2021-10-13,56.5,56.5,55.0,55.5,187
2021-10-14,56.5,58.0,55.0,58.0,270
2021-10-15,58.0,58.0,58.0,58.0,20
2021-10-18,58.0,58.0,56.0,57.5,322
2021-10-19,56.5,71.0,56.5,71.0,6755
2021-10-20,74.0,75.0,62.5,75.0,4688
2021-10-21,73.5,77.0,67.0,67.0,2389
2021-10-22,66.5,68.5,60.0,63.0,3510
2021-10-25,64.0,64.0,61.0,63.0,637
2021-10-26,61.5,63.5,57.5,63.0,1259
2021-10-27,63.0,69.0,63.0,67.0,1886
2021-10-28,67.0,74.5,64.0,70.0,3545
2021-10-29,70.0,70.0,63.0,65.5,2564
2021-11-02,67.0,70.0,66.0,70.0,1396
2021-11-03,70.0,70.0,68.5,70.0,1000
2021-11-04,69.0,70.0,67.0,69.0,970
2021-11-05,69.0,70.0,68.5,69.0,576
2021-11-08,69.0,70.0,69.0,70.0,131
2021-11-09,70.0,70.0,68.5,68.5,193
2021-11-10,66.0,70.0,66.0,70.0,538
2021-11-12,66.0,66.5,63.5,66.0,359
2021-11-15,66.0,70.0,63.5,65.0,940
2021-11-16,65.0,65.0,62.5,62.5,289
2021-11-17,62.5,65.5,62.5,65.5,40
2021-11-18,64.0,64.0,62.5,63.5,119
2021-11-19,62.0,62.5,61.0,62.5,181
2021-11-22,62.0,64.5,62.0,62.5,369
2021-11-23,62.5,62.5,61.0,61.0,324
2021-11-24,61.0,64.0,58.0,64.0,275
2021-11-25,61.0,61.0,60.0,60.0,392
2021-11-26,60.0,60.0,57.5,57.5,235
2021-11-29,57.0,61.0,57.0,61.0,349
2021-11-30,61.0,61.0,61.0,61.0,0
2021-12-01,59.0,61.0,58.5,61.0,141
2021-12-02,61.0,61.0,61.0,61.0,5
2021-12-03,60.0,60.0,58.5,59.0,290
2021-12-06,58.5,58.5,55.0,56.5,168
2021-12-07,59.0,59.0,59.0,59.0,81
2021-12-08,56.5,56.5,56.5,56.5,100
2021-12-09,59.0,60.0,58.0,60.0,193
2021-12-10,60.0,63.5,60.0,63.5,491
2021-12-13,63.5,65.5,63.0,63.5,406
2021-12-14,63.5,63.5,62.0,63.0,40
2021-12-15,61.0,61.0,61.0,61.0,135
2021-12-16,61.0,61.0,61.0,61.0,0
2021-12-17,61.5,61.5,59.0,59.0,58
2021-12-20,58.0,59.0,55.5,55.5,425
2021-12-21,57.0,60.0,53.0,60.0,1148
2021-12-22,61.0,63.5,60.5,63.0,288
2021-12-23,60.5,60.5,57.5,57.5,380
2021-12-27,59.0,59.0,57.0,57.0,441
2021-12-28,57.0,62.0,57.0,57.5,626
2021-12-29,59.0,60.5,59.0,60.5,146
2021-12-30,60.0,60.5,60.0,60.5,19
2022-01-03,60.5,64.5,60.0,64.0,758
2022-01-04,64.0,64.0,61.5,63.5,130
2022-01-05,63.5,63.5,60.0,61.5,228
2022-01-07,61.5,62.0,57.5,61.5,545
2022-01-10,59.5,62.0,59.5,62.0,90
2022-01-11,62.0,62.0,62.0,62.0,0
2022-01-12,62.0,62.0,59.5,61.5,132
2022-01-13,58.5,60.5,58.5,60.5,105
2022-01-14,58.5,59.5,58.0,59.5,65
2022-01-17,60.0,60.0,57.5,58.5,211
2022-01-18,60.0,61.0,60.0,60.0,283
2022-01-19,59.5,64.5,59.5,63.0,1372
2022-01-20,64.5,64.5,64.0,64.5,127
2022-01-21,62.5,64.5,62.5,62.5,27
2022-01-24,65.0,65.0,62.0,62.0,175
2022-01-25,61.5,65.0,61.5,64.5,370
2022-01-26,64.5,64.5,64.5,64.5,0
2022-01-27,62.0,67.0,62.0,65.0,603
2022-01-28,65.0,65.0,62.5,64.5,60
2022-01-31,65.0,67.0,62.0,64.0,313
2022-02-01,61.0,63.5,61.0,63.5,53
2022-02-02,63.5,63.5,63.5,63.5,34
2022-02-03,64.0,64.0,63.0,63.0,55
2022-02-04,64.0,64.0,64.0,64.0,67
2022-02-07,64.0,64.0,64.0,64.0,5
2022-02-08,63.0,64.0,63.0,64.0,5
2022-02-09,64.0,64.0,64.0,64.0,0
2022-02-10,64.0,75.0,64.0,74.5,3845
2022-02-11,72.0,73.0,64.0,65.0,2618
2022-02-14,65.0,65.0,59.0,60.5,281
2022-02-15,62.5,68.0,62.0,66.5,781
2022-02-16,64.0,65.0,62.5,65.0,132
2022-02-17,65.0,65.0,62.5,62.5,421
2022-02-18,63.0,63.5,60.5,63.0,100
2022-02-21,60.0,63.0,60.0,63.0,78
2022-02-22,60.0,62.5,59.0,61.0,502
2022-02-23,60.5,61.0,60.5,61.0,254
2022-02-24,61.0,61.0,53.5,56.0,1404
2022-02-25,55.5,63.0,52.0,60.5,1247
2022-02-28,57.5,61.0,57.5,61.0,460
2022-03-01,61.0,61.0,61.0,61.0,93
2022-03-02,61.0,70.0,61.0,68.5,4288
2022-03-03,66.0,67.0,64.0,64.0,1065
2022-03-04,64.5,65.0,58.0,61.5,635
2022-03-07,61.5,67.5,61.5,64.5,1301
2022-03-08,66.5,69.5,66.5,69.5,595
2022-03-09,67.5,70.0,67.0,68.5,267
2022-03-10,68.5,68.5,65.5,68.5,75
2022-03-11,68.5,68.5,66.5,68.5,268
2022-03-14,66.0,68.0,65.5,68.0,100
2022-03-15,68.0,68.0,65.5,67.5,110
2022-03-16,65.5,67.5,65.5,67.5,8
2022-03-17,67.0,67.5,66.0,67.5,78
2022-03-18,67.0,70.0,67.0,69.5,665
2022-03-21,70.0,72.0,68.0,68.0,3984
2022-03-22,68.0,70.5,68.0,69.0,992
2022-03-23,69.0,69.0,69.0,69.0,38
2022-03-24,69.5,69.5,68.0,69.0,170
2022-03-25,69.5,72.0,69.0,70.5,201
2022-03-28,70.0,71.0,69.0,70.0,798
2022-03-29,69.0,70.5,69.0,70.5,379
2022-03-30,69.5,83.5,69.5,77.0,3567
2022-03-31,79.0,82.0,77.0,80.5,173
2022-04-01,80.5,80.5,72.5,76.0,1034
2022-04-04,76.0,79.0,75.0,79.0,164
2022-04-05,79.0,79.0,79.0,79.0,50
2022-04-06,78.0,78.5,75.5,78.5,161
2022-04-07,76.0,78.5,75.5,78.5,97
2022-04-08,77.0,77.0,73.0,76.5,351
2022-04-11,76.0,76.0,73.5,74.0,126
2022-04-12,73.5,76.5,73.0,76.0,124
2022-04-13,75.80000305175781,75.80000305175781,73.5999984741211,75.80000305175781,50
2022-04-14,73.0,75.0,73.0,75.0,58
2022-04-19,72.5999984741211,74.0,69.0,73.0,342
2022-04-20,73.4000015258789,73.4000015258789,70.0,70.0,155
2022-04-21,72.80000305175781,88.0,72.80000305175781,85.0,3951
2022-04-22,85.0,88.19999694824219,76.5999984741211,82.0,1575
2022-04-25,80.0,85.0,76.5999984741211,81.0,1433
2022-04-26,81.0,81.0,78.0,78.0,223
2022-04-27,77.0,77.0,73.5999984741211,75.4000015258789,338
2022-04-28,75.4000015258789,77.19999694824219,73.4000015258789,77.19999694824219,283
2022-04-29,76.0,81.80000305175781,76.0,80.0,418
2022-05-02,80.0,87.0,80.0,83.5999984741211,959
2022-05-04,83.5999984741211,91.80000305175781,83.5999984741211,88.0,1379
2022-05-05,87.80000305175781,88.0,85.0,85.0,356
2022-05-06,85.80000305175781,87.0,83.80000305175781,84.0,378
2022-05-09,86.0,86.0,82.80000305175781,85.5999984741211,24
2022-05-10,85.5999984741211,85.5999984741211,82.4000015258789,85.0,176
