date,open,high,low,close,volume
2021-09-17,510.0,516.0,506.0,506.0,517
2021-09-20,506.0,506.0,500.0,500.0,3161
2021-09-21,500.0,506.0,500.0,502.0,74
2021-09-22,510.0,510.0,506.0,510.0,13
2021-09-23,516.0,518.0,502.0,518.0,111
2021-09-24,522.0,534.0,520.0,528.0,157
2021-09-27,530.0,530.0,510.0,526.0,15
2021-09-28,532.0,532.0,516.0,518.0,40
2021-09-29,520.0,522.0,520.0,522.0,32
2021-09-30,526.0,526.0,516.0,516.0,65
2021-10-01,514.0,514.0,514.0,514.0,1
2021-10-04,516.0,516.0,510.0,510.0,226
2021-10-05,534.0,534.0,510.0,510.0,66
2021-10-06,520.0,520.0,510.0,512.0,33
2021-10-07,504.0,510.0,504.0,510.0,171
2021-10-08,508.0,512.0,508.0,510.0,41
2021-10-11,516.0,516.0,506.0,506.0,104
2021-10-12,512.0,512.0,504.0,510.0,17
2021-10-13,514.0,516.0,512.0,512.0,14
2021-10-14,512.0,512.0,506.0,512.0,2959
2021-10-15,512.0,516.0,508.0,508.0,12
2021-10-18,508.0,510.0,506.0,510.0,66
2021-10-19,516.0,520.0,506.0,512.0,162
2021-10-20,512.0,514.0,510.0,512.0,144
2021-10-21,518.0,520.0,516.0,516.0,63
2021-10-22,514.0,516.0,512.0,514.0,63
2021-10-25,520.0,520.0,514.0,514.0,43
2021-10-26,520.0,520.0,510.0,516.0,85
2021-10-27,512.0,520.0,512.0,512.0,30
2021-10-28,510.0,520.0,510.0,520.0,12
2021-10-29,520.0,520.0,512.0,518.0,119
2021-11-02,520.0,520.0,510.0,520.0,102
2021-11-03,520.0,520.0,510.0,516.0,76
2021-11-04,516.0,520.0,510.0,520.0,81
2021-11-05,522.0,522.0,518.0,520.0,38
2021-11-08,526.0,526.0,522.0,522.0,33
2021-11-09,526.0,526.0,520.0,520.0,36
2021-11-10,520.0,524.0,518.0,518.0,58
2021-11-12,530.0,530.0,512.0,512.0,111
2021-11-15,522.0,530.0,516.0,520.0,44
2021-11-16,516.0,528.0,516.0,526.0,32
2021-11-17,528.0,534.0,528.0,528.0,109
2021-11-18,530.0,532.0,528.0,530.0,246
2021-11-19,534.0,540.0,534.0,540.0,145
2021-11-22,540.0,562.0,540.0,562.0,511
2021-11-23,550.0,562.0,548.0,560.0,21
2021-11-24,560.0,566.0,550.0,560.0,43
2021-11-25,548.0,560.0,548.0,556.0,7
2021-11-26,556.0,566.0,556.0,556.0,583
2021-11-29,566.0,566.0,556.0,558.0,59
2021-11-30,558.0,558.0,540.0,550.0,38
2021-12-01,550.0,550.0,544.0,544.0,30
2021-12-02,540.0,542.0,530.0,538.0,431
2021-12-03,538.0,542.0,534.0,536.0,163
2021-12-06,542.0,542.0,510.0,510.0,262
2021-12-07,504.0,548.0,499.0,548.0,315
2021-12-08,546.0,548.0,546.0,546.0,22
2021-12-09,546.0,546.0,546.0,546.0,5
2021-12-10,540.0,550.0,540.0,550.0,3
2021-12-13,550.0,550.0,536.0,536.0,60
2021-12-14,550.0,550.0,534.0,534.0,128
2021-12-15,546.0,548.0,538.0,546.0,49
2021-12-16,548.0,548.0,534.0,534.0,37
2021-12-17,536.0,536.0,530.0,530.0,10
2021-12-20,528.0,536.0,526.0,536.0,40
2021-12-21,542.0,542.0,534.0,534.0,16
2021-12-22,548.0,548.0,534.0,534.0,192
2021-12-23,534.0,538.0,532.0,532.0,249
2021-12-27,542.0,554.0,536.0,552.0,188
2021-12-28,556.0,556.0,540.0,544.0,134
2021-12-29,544.0,554.0,544.0,552.0,49
2021-12-30,552.0,552.0,534.0,550.0,214
2022-01-03,550.0,558.0,540.0,542.0,126
2022-01-04,546.0,552.0,544.0,550.0,91
2022-01-05,550.0,550.0,550.0,550.0,4
2022-01-07,554.0,560.0,550.0,560.0,86
2022-01-10,558.0,558.0,538.0,538.0,111
2022-01-11,546.0,550.0,546.0,550.0,16
2022-01-12,556.0,560.0,546.0,548.0,86
2022-01-13,548.0,550.0,540.0,540.0,91
2022-01-14,540.0,560.0,540.0,540.0,34
2022-01-17,540.0,546.0,540.0,546.0,35
2022-01-18,546.0,546.0,546.0,546.0,19
2022-01-19,556.0,556.0,546.0,548.0,28
2022-01-20,550.0,550.0,540.0,540.0,53
2022-01-21,544.0,544.0,530.0,532.0,240
2022-01-24,534.0,540.0,524.0,524.0,319
2022-01-25,518.0,532.0,518.0,522.0,510
2022-01-26,530.0,534.0,518.0,530.0,28
2022-01-27,530.0,534.0,520.0,520.0,50
2022-01-28,524.0,534.0,524.0,524.0,34
2022-01-31,520.0,528.0,520.0,528.0,17
2022-02-01,534.0,534.0,524.0,524.0,8
2022-02-02,524.0,528.0,522.0,528.0,21
2022-02-03,522.0,528.0,520.0,520.0,25
2022-02-04,520.0,528.0,518.0,528.0,13
2022-02-07,528.0,528.0,518.0,520.0,68
2022-02-08,528.0,528.0,524.0,524.0,58
2022-02-09,520.0,526.0,516.0,518.0,78
2022-02-10,522.0,522.0,516.0,516.0,108
2022-02-11,516.0,516.0,516.0,516.0,2
2022-02-14,516.0,516.0,500.0,500.0,146
2022-02-15,516.0,520.0,510.0,512.0,287
2022-02-16,514.0,514.0,508.0,508.0,2
2022-02-17,508.0,508.0,506.0,506.0,4
2022-02-18,508.0,510.0,506.0,506.0,85
2022-02-21,514.0,514.0,506.0,506.0,6
2022-02-22,506.0,514.0,506.0,506.0,103
2022-02-23,502.0,512.0,456.0,480.0,441
2022-02-24,480.0,480.0,429.0,443.0,372
2022-02-25,475.0,500.0,431.0,474.0,5847
2022-02-28,474.0,480.0,427.0,430.0,631
2022-03-01,429.0,429.0,399.0,420.0,1601
2022-03-02,422.0,444.0,422.0,435.0,86
2022-03-03,446.0,447.0,445.0,445.0,216
2022-03-04,445.0,457.0,428.0,429.0,88
2022-03-07,425.0,456.0,402.0,422.0,278
2022-03-08,433.0,433.0,401.0,408.0,378
2022-03-09,420.0,420.0,397.0,398.0,277
2022-03-10,404.0,408.0,400.0,402.0,220
2022-03-11,402.0,410.0,399.0,400.0,292
2022-03-14,429.0,429.0,396.0,397.0,197
2022-03-15,397.0,404.0,397.0,398.0,41
2022-03-16,402.0,414.0,402.0,414.0,273
2022-03-17,429.0,449.0,428.0,448.0,491
2022-03-18,450.0,455.0,440.0,455.0,357
2022-03-21,455.0,472.0,455.0,462.0,347
2022-03-22,468.0,480.0,468.0,478.0,183
2022-03-23,474.0,474.0,450.0,455.0,288
2022-03-24,455.0,457.0,440.0,451.0,562
2022-03-25,460.0,460.0,450.0,450.0,20
2022-03-28,450.0,461.0,450.0,451.0,82
2022-03-29,470.0,470.0,450.0,459.0,203
2022-03-30,463.0,463.0,455.0,455.0,13
2022-03-31,455.0,456.0,454.0,454.0,28
2022-04-01,454.0,454.0,454.0,454.0,9
2022-04-04,458.0,460.0,450.0,456.0,25
2022-04-05,459.0,459.0,450.0,450.0,48
2022-04-06,454.0,457.0,446.0,446.0,60
2022-04-07,450.0,458.0,450.0,456.0,403
2022-04-08,450.0,455.0,450.0,450.0,57
2022-04-11,451.0,451.0,442.0,449.0,422
2022-04-12,445.0,445.0,430.0,438.0,140
2022-04-13,440.0,441.0,422.0,424.0,365
2022-04-14,429.0,429.0,417.0,419.0,172
2022-04-19,421.0,426.0,415.0,416.0,577
2022-04-20,417.0,418.0,413.0,413.0,188
2022-04-21,415.0,417.0,413.0,413.0,681
2022-04-22,412.0,419.0,401.0,411.0,1093
2022-04-25,407.0,415.0,402.0,411.0,50
2022-04-26,422.0,450.0,419.0,419.0,969
2022-04-27,429.0,439.0,420.0,425.0,132
2022-04-28,425.0,425.0,420.0,420.0,30
2022-04-29,420.0,423.0,417.0,417.0,46
2022-05-02,417.0,424.0,416.0,416.0,56
2022-05-04,412.0,421.0,410.0,416.0,10087
2022-05-05,418.0,418.0,410.0,413.0,244
2022-05-06,419.0,419.0,410.0,411.0,70
2022-05-09,435.0,435.0,405.0,410.0,196
2022-05-10,410.0,427.0,398.0,398.0,605
2022-05-11,400.0,408.0,382.0,394.0,436
2022-05-12,391.0,391.0,378.0,389.0,139
2022-05-13,389.0,404.0,383.0,404.0,151
2022-05-16,403.0,419.0,403.0,412.0,128
2022-05-17,413.0,427.0,410.0,427.0,87
2022-05-18,428.0,428.0,410.0,410.0,65
2022-05-19,417.0,421.0,415.0,419.0,77
2022-05-20,427.0,427.0,425.0,425.0,31
2022-05-23,426.0,430.0,410.0,410.0,44
2022-05-24,419.0,419.0,410.0,412.0,10
2022-05-25,411.0,415.0,411.0,411.0,9
2022-05-26,410.0,412.0,401.0,402.0,409
2022-05-27,412.0,412.0,403.0,403.0,8
2022-05-30,406.0,407.0,396.0,405.0,265
2022-05-31,406.0,412.0,405.0,408.0,111
2022-06-01,414.0,420.0,414.0,420.0,78
2022-06-02,420.0,420.0,416.0,416.0,13
2022-06-03,415.0,419.0,415.0,416.0,48
2022-06-06,416.0,421.0,416.0,420.0,18
2022-06-07,424.0,438.0,424.0,432.0,120
2022-06-08,440.0,440.0,435.0,435.0,68
2022-06-09,442.0,442.0,430.0,431.0,68
2022-06-10,440.0,440.0,432.0,435.0,39
2022-06-13,439.0,439.0,426.0,426.0,53
2022-06-14,402.0,435.0,402.0,435.0,207
2022-06-15,435.0,435.0,430.0,430.0,13
2022-06-17,406.0,442.0,404.0,437.0,494
2022-06-20,443.0,446.0,438.0,438.0,29
2022-06-21,436.0,438.0,435.0,435.0,40
2022-06-22,446.0,446.0,431.0,433.0,42
2022-06-23,420.0,450.0,420.0,441.0,529
2022-06-24,440.0,450.0,440.0,450.0,19
2022-06-27,450.0,456.0,449.0,450.0,98
2022-06-28,451.0,455.0,451.0,455.0,20
2022-06-29,450.0,460.0,444.0,460.0,84
2022-06-30,460.0,460.0,445.0,446.0,20
2022-07-01,445.0,453.0,441.0,453.0,212
2022-07-04,460.0,460.0,440.0,445.0,45
