date,open,high,low,close,volume
2021-09-17,629.0,640.0,628.0,634.0,17580
2021-09-20,631.0,634.0,618.0,620.0,6866
2021-09-21,620.0,628.0,617.0,618.0,3999
2021-09-22,622.0,638.0,620.0,637.0,9783
2021-09-23,641.0,649.0,628.0,630.0,5831
2021-09-24,636.0,636.0,626.0,629.0,1881
2021-09-27,630.0,643.0,621.0,625.0,12550
2021-09-28,625.0,629.0,618.0,618.0,13028
2021-09-29,618.0,637.0,618.0,635.0,6073
2021-09-30,637.0,641.0,635.0,637.0,10733
2021-10-01,630.0,634.0,626.0,629.0,6777
2021-10-04,633.0,640.0,622.0,635.0,5156
2021-10-05,630.0,636.0,628.0,633.0,13225
2021-10-06,630.0,633.0,626.0,628.0,23373
2021-10-07,628.0,634.0,625.0,628.0,15585
2021-10-08,625.0,635.0,621.0,628.0,13636
2021-10-11,630.0,647.0,626.0,646.0,4026
2021-10-12,646.0,646.0,629.0,630.0,2492
2021-10-13,627.0,639.0,627.0,637.0,6423
2021-10-14,637.0,646.0,628.0,646.0,10336
2021-10-15,646.0,650.0,630.0,635.0,12612
2021-10-18,634.0,651.0,629.0,645.0,5571
2021-10-19,649.0,664.0,649.0,654.0,7329
2021-10-20,654.0,654.0,635.0,636.0,12098
2021-10-21,635.0,641.0,635.0,638.0,9690
2021-10-22,640.0,640.0,623.0,636.0,9377
2021-10-25,634.0,634.0,624.0,626.0,8919
2021-10-26,627.0,630.0,624.0,626.0,4507
2021-10-27,626.0,629.0,615.0,616.0,8675
2021-10-28,618.0,618.0,601.0,613.0,28952
2021-10-29,618.0,629.0,614.0,626.0,4479
2021-11-02,627.0,627.0,610.0,611.0,6793
2021-11-03,611.0,628.0,610.0,626.0,5982
2021-11-04,629.0,629.0,614.0,614.0,3600
2021-11-05,614.0,623.0,613.0,620.0,2851
2021-11-08,621.0,623.0,620.0,620.0,6217
2021-11-09,622.0,623.0,617.0,623.0,5544
2021-11-10,620.0,622.0,615.0,616.0,5617
2021-11-12,616.0,622.0,613.0,613.0,2038
2021-11-15,612.0,619.0,612.0,614.0,5390
2021-11-16,614.0,616.0,612.0,614.0,8445
2021-11-17,618.0,618.0,612.0,614.0,2514
2021-11-18,616.0,616.0,611.0,614.0,3764
2021-11-19,613.0,622.0,609.0,612.0,4715
2021-11-22,614.0,615.0,592.0,596.0,9143
2021-11-23,594.0,600.0,594.0,596.0,1261
2021-11-24,598.0,600.0,593.0,593.0,3348
2021-11-25,593.0,600.0,586.0,598.0,8363
2021-11-26,598.0,600.0,568.0,570.0,11105
2021-11-29,570.0,580.0,566.0,580.0,5987
2021-11-30,580.0,580.0,568.0,580.0,7259
2021-12-01,580.0,597.0,575.0,595.0,9885
2021-12-02,599.0,599.0,572.0,578.0,16937
2021-12-03,583.0,589.0,578.0,583.0,3761
2021-12-06,584.0,588.0,578.0,578.0,2558
2021-12-07,582.0,596.0,581.0,589.0,3618
2021-12-08,593.0,598.0,587.0,587.0,3634
2021-12-09,595.0,595.0,576.0,579.0,2158
2021-12-10,579.0,588.0,570.0,575.0,9047
2021-12-13,576.0,582.0,575.0,580.0,3410
2021-12-14,580.0,585.0,562.0,563.0,5414
2021-12-15,563.0,574.0,552.0,563.0,8688
2021-12-16,565.0,569.0,553.0,558.0,5734
2021-12-17,560.0,564.0,547.0,555.0,25903
2021-12-20,554.0,570.0,543.0,570.0,3225
2021-12-21,571.0,574.0,556.0,570.0,8542
2021-12-22,570.0,605.0,570.0,605.0,15199
2021-12-23,610.0,626.0,609.0,617.0,14610
2021-12-27,618.0,620.0,598.0,620.0,9151
2021-12-28,621.0,632.0,610.0,623.0,8400
2021-12-29,629.0,634.0,614.0,616.0,13897
2021-12-30,612.0,614.0,607.0,610.0,13744
2022-01-03,620.0,640.0,616.0,629.0,5836
2022-01-04,633.0,635.0,621.0,621.0,3424
2022-01-05,620.0,643.0,617.0,642.0,13887
2022-01-07,645.0,648.0,632.0,643.0,4947
2022-01-10,644.0,655.0,639.0,655.0,12757
2022-01-11,658.0,667.0,649.0,665.0,12690
2022-01-12,666.0,676.0,666.0,673.0,12689
2022-01-13,674.0,676.0,665.0,675.0,7724
2022-01-14,673.0,680.0,667.0,668.0,4104
2022-01-17,670.0,670.0,661.0,665.0,3494
2022-01-18,666.0,666.0,638.0,650.0,9045
2022-01-19,640.0,665.0,638.0,649.0,6229
2022-01-20,655.0,660.0,640.0,648.0,4099
2022-01-21,645.0,645.0,630.0,630.0,2985
2022-01-24,628.0,631.0,599.0,618.0,5668
2022-01-25,618.0,625.0,609.0,618.0,3644
2022-01-26,608.0,627.0,608.0,621.0,4078
2022-01-27,621.0,627.0,610.0,627.0,7765
2022-01-28,627.0,634.0,604.0,634.0,7162
2022-01-31,633.0,633.0,607.0,607.0,5815
2022-02-01,610.0,619.0,606.0,606.0,2335
2022-02-02,610.0,622.0,607.0,619.0,4203
2022-02-03,618.0,620.0,611.0,619.0,1524
2022-02-04,622.0,622.0,590.0,596.0,4400
2022-02-07,600.0,621.0,596.0,620.0,2978
2022-02-08,624.0,624.0,600.0,606.0,3815
2022-02-09,612.0,612.0,599.0,600.0,4767
2022-02-10,603.0,603.0,595.0,603.0,4384
2022-02-11,603.0,603.0,592.0,599.0,1496
2022-02-14,594.0,603.0,579.0,592.0,8017
2022-02-15,592.0,602.0,592.0,593.0,3220
2022-02-16,598.0,603.0,590.0,594.0,3051
