date,open,high,low,close,volume
2021-09-17,351.0,354.0,346.0,346.0,3768
2021-09-20,349.0,349.0,331.0,333.0,6807
2021-09-21,335.0,346.0,334.0,340.0,2459
2021-09-22,340.0,350.0,340.0,342.0,1972
2021-09-23,350.0,350.0,346.0,346.0,2405
2021-09-24,348.0,352.0,343.0,349.0,1189
2021-09-27,352.0,360.0,351.0,356.0,1732
2021-09-28,359.0,364.0,359.0,363.0,2923
2021-09-29,363.0,363.0,357.0,360.0,3774
2021-09-30,362.0,364.0,360.0,362.0,1547
2021-10-01,358.0,362.0,357.0,361.0,1356
2021-10-04,362.0,369.0,360.0,369.0,7555
2021-10-05,369.0,377.0,364.0,375.0,4475
2021-10-06,357.0,360.0,335.0,353.0,39472
2021-10-07,355.0,375.0,355.0,375.0,27099
2021-10-08,373.0,375.0,360.0,367.0,6634
2021-10-11,372.0,375.0,358.0,360.0,8781
2021-10-12,360.0,362.0,356.0,361.0,6446
2021-10-13,361.0,365.0,360.0,365.0,4607
2021-10-14,366.0,370.0,365.0,368.0,3225
2021-10-15,369.0,370.0,366.0,369.0,981
2021-10-18,369.0,370.0,367.0,369.0,2726
2021-10-19,370.0,370.0,359.0,363.0,2263
2021-10-20,363.0,366.0,362.0,366.0,1777
2021-10-21,366.0,366.0,362.0,362.0,1496
2021-10-22,364.0,367.0,362.0,364.0,1010
2021-10-25,365.0,367.0,362.0,365.0,3159
2021-10-26,365.0,367.0,359.0,359.0,3642
2021-10-27,358.0,364.0,357.0,363.0,1949
2021-10-28,364.0,367.0,361.0,361.0,874
2021-10-29,362.0,367.0,358.0,360.0,4462
2021-11-02,364.0,367.0,360.0,367.0,2537
2021-11-03,367.0,367.0,363.0,367.0,1161
2021-11-04,367.0,370.0,364.0,368.0,3988
2021-11-05,370.0,373.0,365.0,366.0,10986
2021-11-08,369.0,370.0,366.0,366.0,3327
2021-11-09,367.0,373.0,361.0,365.0,6663
2021-11-10,365.0,367.0,362.0,367.0,11593
2021-11-12,370.0,390.0,368.0,383.0,8951
2021-11-15,385.0,395.0,384.0,395.0,12360
2021-11-16,396.0,412.0,393.0,400.0,13598
2021-11-17,398.0,407.0,385.0,404.0,8572
2021-11-18,403.0,403.0,388.0,391.0,1904
2021-11-19,391.0,400.0,390.0,395.0,6154
2021-11-22,383.0,383.0,371.0,377.0,9998
2021-11-23,375.0,380.0,371.0,380.0,2106
2021-11-24,380.0,389.0,374.0,382.0,1920
2021-11-25,380.0,390.0,380.0,390.0,1542
2021-11-26,385.0,385.0,374.0,381.0,4666
2021-11-29,380.0,380.0,371.0,374.0,5840
2021-11-30,376.0,378.0,348.0,374.0,6676
2021-12-01,374.0,376.0,370.0,373.0,5357
2021-12-02,371.0,373.0,366.0,367.0,3987
2021-12-03,371.0,374.0,367.0,374.0,2203
2021-12-06,374.0,374.0,366.0,367.0,4535
2021-12-07,369.0,385.0,369.0,375.0,6300
2021-12-08,380.0,380.0,370.0,370.0,5747
2021-12-09,370.0,380.0,370.0,378.0,8984
2021-12-10,378.0,383.0,376.0,383.0,3140
