date,open,high,low,close,volume
2021-09-17,283.0,297.0,279.0,280.0,15246
2021-09-20,280.0,280.0,259.0,267.0,12421
2021-09-21,267.0,284.0,266.5,274.0,5937
2021-09-22,276.0,282.0,273.5,274.0,3689
2021-09-23,274.0,274.5,266.5,270.0,5382
2021-09-24,268.0,271.0,266.5,269.0,3115
2021-09-27,270.5,271.0,263.0,264.0,4767
2021-09-28,263.5,269.0,251.0,254.0,10724
2021-09-29,255.0,270.0,255.0,268.5,5726
2021-09-30,271.5,292.0,271.5,290.0,10415
2021-10-01,289.5,311.0,283.5,310.0,13794
2021-10-04,315.0,315.0,290.5,304.0,6863
2021-10-05,299.0,302.0,293.0,298.0,1579
2021-10-06,299.0,299.0,284.0,293.0,4698
2021-10-07,295.5,295.5,291.5,293.0,1021
2021-10-08,296.0,306.0,291.5,304.0,5746
2021-10-11,303.0,310.0,296.0,309.0,4601
2021-10-12,309.0,318.5,304.0,317.0,12828
2021-10-13,320.0,320.0,311.5,315.5,3330
2021-10-14,317.0,325.0,304.0,313.0,4783
2021-10-15,315.0,317.5,295.0,310.0,5689
2021-10-18,308.0,325.0,308.0,317.5,6846
2021-10-19,321.0,323.0,300.0,304.0,6640
2021-10-20,304.5,307.0,288.0,292.0,4338
2021-10-21,292.0,298.5,291.5,296.0,1616
2021-10-22,299.0,300.0,292.0,300.0,1328
2021-10-25,305.0,306.0,299.0,303.0,1290
2021-10-26,304.0,308.5,293.0,298.5,2858
2021-10-27,300.0,304.0,293.0,296.5,995
2021-10-28,292.0,297.5,278.0,284.0,5102
2021-10-29,288.0,292.0,274.0,275.0,4609
2021-11-02,275.0,281.0,273.0,277.0,3400
2021-11-03,277.5,280.0,275.0,278.5,2648
2021-11-04,278.5,320.0,275.0,320.0,34424
2021-11-05,320.0,320.0,308.0,316.0,6297
2021-11-08,316.0,326.0,308.5,316.5,23980
2021-11-09,316.0,318.0,308.0,316.0,5408
2021-11-10,313.0,317.0,308.0,314.0,16244
2021-11-12,314.0,319.0,314.0,316.5,1461
2021-11-15,316.5,317.0,307.5,310.0,14332
2021-11-16,311.0,314.5,300.5,313.5,5991
2021-11-17,310.0,311.5,307.0,307.0,1275
2021-11-18,310.0,313.0,305.5,310.0,13082
2021-11-19,310.5,310.5,295.0,308.5,3291
2021-11-22,309.0,309.0,297.0,303.0,1505
2021-11-23,304.5,307.0,297.0,307.0,1197
2021-11-24,307.0,307.0,297.0,298.0,829
2021-11-25,297.0,300.0,291.0,294.5,1483
2021-11-26,290.0,290.5,278.0,278.0,5244
2021-11-29,277.0,282.0,273.5,281.0,3272
2021-11-30,280.5,280.5,275.0,278.5,4423
2021-12-01,281.5,281.5,268.0,279.0,5338
2021-12-02,279.0,279.0,271.0,277.0,2840
2021-12-03,272.0,284.0,271.0,283.5,1747
2021-12-06,283.5,286.0,276.0,278.0,1201
2021-12-07,278.0,285.0,277.0,282.5,3460
2021-12-08,286.0,288.0,283.0,286.0,1074
2021-12-09,286.0,288.5,282.5,283.0,1628
2021-12-10,283.5,283.5,278.0,282.0,1128
2021-12-13,281.5,281.5,272.5,278.0,7290
2021-12-14,275.5,275.5,271.0,271.5,4238
2021-12-15,270.0,270.0,259.0,260.0,11281
2021-12-16,262.5,273.0,262.5,268.0,2217
2021-12-17,265.0,271.0,259.0,259.0,10068
2021-12-20,259.0,259.0,250.0,252.5,4125
2021-12-21,254.0,259.0,254.0,257.5,1828
2021-12-22,261.0,262.0,257.0,257.5,1268
2021-12-23,259.5,266.5,259.5,266.5,2690
2021-12-27,261.0,265.0,253.5,256.0,7579
2021-12-28,256.0,260.0,252.0,254.5,10973
2021-12-29,254.0,266.0,254.0,263.0,1223
2021-12-30,261.5,265.0,259.5,263.5,1058
2022-01-03,265.0,275.5,262.0,272.5,1637
2022-01-04,274.5,278.5,270.5,276.5,2529
2022-01-05,277.0,288.0,274.0,285.0,2179
2022-01-07,285.0,290.0,283.5,285.0,9019
2022-01-10,285.0,287.0,280.0,284.0,1797
2022-01-11,285.0,302.0,283.0,302.0,3127
2022-01-12,303.5,311.0,302.5,308.0,2254
2022-01-13,308.5,309.0,305.0,308.0,1364
2022-01-14,308.0,309.5,301.5,307.0,1914
2022-01-17,309.5,310.0,307.5,310.0,4443
2022-01-18,311.0,311.0,295.5,302.5,2596
2022-01-19,298.5,301.0,292.5,299.0,5169
2022-01-20,296.0,300.0,295.0,298.0,2542
2022-01-21,295.0,295.0,290.5,292.0,1684
2022-01-24,289.5,292.0,271.0,274.0,4070
2022-01-25,271.0,281.0,271.0,273.0,2198
2022-01-26,275.0,282.0,272.5,272.5,1915
2022-01-27,273.0,282.0,269.0,282.0,1386
2022-01-28,282.0,282.0,274.0,274.0,754
2022-01-31,278.0,278.0,273.5,275.0,2144
2022-02-01,282.0,292.0,280.0,290.0,13921
2022-02-02,293.0,298.0,290.0,292.0,1590
2022-02-03,292.0,296.5,287.0,291.0,1469
2022-02-04,290.0,290.0,284.5,287.0,594
2022-02-07,287.5,288.5,283.5,288.5,883
2022-02-08,287.0,294.5,284.5,288.0,1544
2022-02-09,288.5,292.5,283.0,292.0,926
2022-02-10,293.0,303.0,292.5,301.0,2777
2022-02-11,301.0,304.0,293.0,304.0,2876
2022-02-14,302.0,302.0,283.5,293.0,3624
2022-02-15,290.0,299.5,286.5,289.0,4299
2022-02-16,291.5,295.0,289.5,290.0,2957
2022-02-17,288.0,290.0,276.0,280.0,4324
2022-02-18,281.0,303.0,281.0,298.0,12682
2022-02-21,298.0,298.0,280.5,281.0,2062
2022-02-22,273.5,285.5,265.5,284.0,3288
2022-02-23,285.0,293.0,283.5,283.5,2677
2022-02-24,265.0,269.5,246.0,255.0,8996
2022-02-25,258.0,274.5,257.0,270.5,3002
