date,open,high,low,close,volume
2021-09-17,170.0,170.0,170.0,170.0,0
2021-09-20,170.0,170.0,170.0,170.0,0
2021-09-21,173.0,173.0,173.0,173.0,2
2021-09-22,173.0,173.0,173.0,173.0,0
2021-09-23,174.0,174.0,174.0,174.0,5
2021-09-24,174.0,174.0,174.0,174.0,0
2021-09-27,175.0,175.0,175.0,175.0,41
2021-09-28,175.0,175.0,175.0,175.0,0
2021-09-29,175.0,175.0,175.0,175.0,9
2021-09-30,175.0,175.0,175.0,175.0,0
2021-10-01,179.0,190.0,179.0,189.0,43
2021-10-04,189.0,189.0,189.0,189.0,1
2021-10-05,189.0,189.0,189.0,189.0,0
2021-10-06,189.0,190.0,189.0,190.0,15
2021-10-07,190.0,190.0,190.0,190.0,0
2021-10-08,190.0,190.0,190.0,190.0,26
2021-10-11,190.0,206.0,190.0,190.0,454
2021-10-12,200.0,200.0,200.0,200.0,66
2021-10-13,202.0,208.0,202.0,202.0,53
2021-10-14,200.0,200.0,200.0,200.0,3
2021-10-15,200.0,200.0,200.0,200.0,0
2021-10-18,206.0,210.0,206.0,206.0,239
2021-10-19,206.0,206.0,206.0,206.0,52
2021-10-20,206.0,206.0,206.0,206.0,33
2021-10-21,200.0,200.0,200.0,200.0,2
2021-10-22,200.0,200.0,200.0,200.0,25
2021-10-25,200.0,200.0,200.0,200.0,0
2021-10-26,200.0,200.0,198.0,198.0,60
2021-10-27,197.0,197.0,187.0,187.0,41
2021-10-28,187.0,187.0,186.0,186.0,45
2021-10-29,186.0,194.0,180.0,180.0,279
2021-11-02,180.0,180.0,180.0,180.0,0
2021-11-03,180.0,180.0,180.0,180.0,0
2021-11-04,180.0,180.0,180.0,180.0,0
2021-11-05,180.0,180.0,180.0,180.0,0
2021-11-08,180.0,180.0,180.0,180.0,0
2021-11-09,179.0,179.0,179.0,179.0,2
2021-11-10,165.0,170.0,163.0,163.0,93
2021-11-12,160.0,161.0,160.0,160.0,130
2021-11-15,160.0,160.0,160.0,160.0,0
2021-11-16,160.0,160.0,160.0,160.0,0
2021-11-17,160.0,160.0,160.0,160.0,0
2021-11-18,160.0,160.0,160.0,160.0,0
2021-11-19,160.0,160.0,160.0,160.0,0
2021-11-22,160.0,160.0,160.0,160.0,5
2021-11-23,160.0,160.0,160.0,160.0,68
2021-11-24,160.0,160.0,160.0,160.0,0
2021-11-25,160.0,160.0,160.0,160.0,0
2021-11-26,162.0,162.0,160.0,160.0,82
2021-11-29,163.0,163.0,163.0,163.0,10
2021-11-30,164.0,164.0,164.0,164.0,40
2021-12-01,164.0,164.0,164.0,164.0,11
2021-12-02,164.0,164.0,164.0,164.0,24
2021-12-03,164.0,164.0,164.0,164.0,0
