date,open,high,low,close,volume
2021-09-17,59.0,59.0,57.5,59.0,364
2021-09-20,59.5,59.5,56.0,58.5,1365
2021-09-21,59.0,59.0,56.0,57.5,1005
2021-09-22,59.0,59.0,59.0,59.0,1
2021-09-23,58.5,58.5,58.5,58.5,156
2021-09-24,58.5,58.5,58.5,58.5,36
2021-09-27,59.0,59.0,58.0,58.5,331
2021-09-28,59.0,59.0,59.0,59.0,1
2021-09-29,59.0,59.0,56.5,58.0,1315
2021-09-30,59.0,59.0,59.0,59.0,1
2021-10-01,58.5,58.5,58.5,58.5,5
2021-10-04,58.5,58.5,56.0,57.0,867
2021-10-05,56.5,56.5,55.0,56.5,526
2021-10-06,57.5,57.5,56.5,57.5,456
2021-10-07,57.0,57.5,56.5,57.5,53
2021-10-08,58.0,58.0,55.5,57.5,1366
2021-10-11,58.0,58.0,55.5,57.0,6409
2021-10-12,57.5,57.5,56.0,56.5,537
2021-10-13,57.5,59.0,56.0,59.0,1291
2021-10-14,59.0,59.0,57.0,59.0,1054
2021-10-15,59.0,59.0,59.0,59.0,6
2021-10-18,59.0,59.5,58.5,59.5,547
2021-10-19,59.5,59.5,58.5,59.5,379
2021-10-20,59.5,59.5,57.0,59.5,636
2021-10-21,59.5,59.5,59.5,59.5,1
2021-10-22,59.0,59.0,57.5,59.0,19
2021-10-25,59.0,59.0,57.5,59.0,200
2021-10-26,59.0,59.5,57.5,59.5,636
2021-10-27,59.5,59.5,57.5,59.5,283
2021-10-28,59.5,59.5,58.0,59.5,554
2021-10-29,59.5,59.5,59.5,59.5,5
2021-11-02,59.0,60.0,57.5,60.0,1667
2021-11-03,61.0,61.0,59.5,61.0,401
2021-11-04,60.5,61.0,59.5,61.0,463
2021-11-05,60.5,61.0,60.5,61.0,316
2021-11-08,61.0,61.0,59.5,59.5,13
2021-11-09,61.0,62.0,59.5,62.0,1212
2021-11-10,62.0,62.0,60.0,62.0,1039
2021-11-12,62.0,63.0,60.5,63.0,626
2021-11-15,63.0,63.0,61.5,63.0,331
2021-11-16,63.0,63.0,62.5,62.5,84
2021-11-17,62.5,62.5,62.0,62.5,114
2021-11-18,62.5,64.0,61.0,64.0,576
2021-11-19,64.0,64.0,61.5,64.0,291
2021-11-22,63.5,63.5,61.0,63.5,2041
2021-11-23,64.0,64.0,62.0,64.0,642
2021-11-24,64.0,64.5,62.5,64.5,536
2021-11-25,65.0,65.0,63.0,65.0,401
2021-11-26,63.5,65.0,63.0,65.0,714
2021-11-29,65.0,65.0,63.0,65.0,726
2021-11-30,65.0,65.0,64.5,64.5,15
2021-12-01,64.0,64.5,64.0,64.0,29
2021-12-02,64.0,65.0,63.5,65.0,906
2021-12-03,65.0,65.0,63.5,64.5,102
2021-12-06,64.5,64.5,60.5,64.5,2037
2021-12-07,64.5,64.5,63.0,64.5,142
2021-12-08,64.0,64.0,64.0,64.0,2
2021-12-09,64.0,64.0,63.5,63.5,46
2021-12-10,64.0,64.0,64.0,64.0,1
2021-12-13,64.0,64.0,64.0,64.0,150
2021-12-14,64.0,64.0,63.0,63.0,62
2021-12-15,64.0,66.0,62.5,66.0,1601
2021-12-16,66.0,66.0,64.5,65.5,417
2021-12-17,66.0,66.0,64.5,65.0,71
2021-12-20,65.0,65.0,64.0,65.0,293
2021-12-21,65.0,65.0,65.0,65.0,1
2021-12-22,65.0,65.0,64.0,65.0,40
2021-12-23,65.0,65.0,62.0,64.0,817
2021-12-27,64.0,64.0,61.5,63.0,559
2021-12-28,63.0,63.0,60.0,60.0,1102
2021-12-29,64.5,64.5,60.0,64.0,1168
2021-12-30,64.5,66.0,61.0,66.0,2070
2022-01-03,65.0,66.0,63.5,66.0,343
2022-01-04,65.5,65.5,65.5,65.5,51
2022-01-05,65.5,65.5,65.5,65.5,32
2022-01-07,65.5,65.5,65.5,65.5,15
2022-01-10,64.5,65.5,64.5,65.5,22
2022-01-11,65.5,65.5,64.5,65.0,52
2022-01-12,65.5,65.5,64.5,64.5,353
2022-01-13,64.5,64.5,64.5,64.5,1
2022-01-14,64.5,64.5,64.5,64.5,116
2022-01-17,64.0,64.0,63.0,63.0,76
2022-01-18,63.0,63.0,62.5,62.5,75
2022-01-19,64.0,64.0,62.0,62.5,404
2022-01-20,62.5,62.5,62.0,62.0,16
2022-01-21,62.0,62.0,60.5,62.0,249
2022-01-24,62.0,62.0,60.5,60.5,222
2022-01-25,60.0,60.5,60.0,60.0,197
2022-01-26,60.5,60.5,60.0,60.5,49
2022-01-27,60.5,60.5,60.5,60.5,77
2022-01-28,60.5,60.5,59.0,60.5,552
2022-01-31,60.5,60.5,60.5,60.5,34
2022-02-01,62.0,62.0,61.0,61.0,21
2022-02-02,61.0,61.0,61.0,61.0,1
2022-02-03,61.0,62.0,59.5,62.0,334
2022-02-04,62.5,62.5,62.5,62.5,1
2022-02-07,62.5,62.5,62.5,62.5,1
2022-02-08,62.5,62.5,59.5,61.5,874
2022-02-09,61.0,61.0,61.0,61.0,1
2022-02-10,61.0,61.0,61.0,61.0,1
2022-02-11,61.0,61.0,59.5,60.5,162
2022-02-14,61.0,61.0,58.0,58.5,811
2022-02-15,61.0,61.0,57.5,57.5,86
2022-02-16,61.0,61.0,61.0,61.0,1
2022-02-17,60.0,60.0,58.0,59.5,21
2022-02-18,61.0,61.0,60.0,60.0,46
2022-02-21,61.0,61.0,56.5,58.5,441
2022-02-22,60.5,60.5,56.5,58.5,232
