symbol,date,close,technical_score,fundamental_score,composite_score,verdict,rationale
06N.WA,2026-09-18,2.4800000190734863,20.0,,20.0,HOLD,price above SMA200 (long-term uptrend); SMA50 below SMA200 (death-cross state); price above SMA20 (short-term uptrend); MACD above signal line (bullish); MACD histogram positive (momentum building); price at/above upper Bollinger Band (potentially overbought)
08N.WA,2026-09-18,0.625,-60.0,,-60.0,SELL,price below SMA200 (long-term downtrend); SMA50 below SMA200 (death-cross state); price below SMA20 (short-term downtrend); MACD below signal line (bearish); MACD histogram negative (momentum fading)
11B.WA,2026-09-18,121.5999984741211,-20.0,,-20.0,HOLD,price below SMA200 (long-term downtrend); SMA50 below SMA200 (death-cross state); price below SMA20 (short-term downtrend); RSI oversold (25.5 < 30); MACD below signal line (bearish); MACD histogram negative (momentum fading); price at/below lower Bollinger Band (potentially oversold)
1AT.WA,2026-09-18,59.29999923706055,40.0,,40.0,BUY,price above SMA200 (long-term uptrend); SMA50 below SMA200 (death-cross state); price above SMA20 (short-term uptrend); MACD above signal line (bullish); MACD histogram positive (momentum building)
3RG.WA,2026-09-18,0.699999988079071,-40.0,,-40.0,SELL,price below SMA200 (long-term downtrend); SMA50 above SMA200 (golden-cross state); price below SMA20 (short-term downtrend); MACD below signal line (bearish); MACD histogram negative (momentum fading)
4MS.WA,2026-09-18,5.360000133514404,0.0,,0.0,HOLD,price above SMA200 (long-term uptrend); SMA50 above SMA200 (golden-cross state); price below SMA20 (short-term downtrend); MACD below signal line (bearish); MACD histogram negative (momentum fading)
AAT.WA,2026-09-17,1.7000000476837158,0.0,,0.0,HOLD,price above SMA200 (long-term uptrend); SMA50 above SMA200 (golden-cross state); price below SMA20 (short-term downtrend); MACD below signal line (bearish); MACD histogram negative (momentum fading)
ABE.WA,2026-09-18,146.0,0.0,,0.0,HOLD,price above SMA200 (long-term uptrend); SMA50 above SMA200 (golden-cross state); price below SMA20 (short-term downtrend); MACD below signal line (bearish); MACD histogram negative (momentum fading)
ABS.WA,2026-09-18,85.5999984741211,0.0,,0.0,HOLD,price above SMA200 (long-term uptrend); SMA50 above SMA200 (golden-cross state); price below SMA20 (short-term downtrend); MACD below signal line (bearish); MACD histogram negative (momentum fading)
ACG.WA,2026-09-18,19.299999237060547,-60.0,,-60.0,SELL,price below SMA200 (long-term downtrend); SMA50 below SMA200 (death-cross state); price below SMA20 (short-term downtrend); MACD below signal line (bearish); MACD histogram negative (momentum fading)
ACP.WA,2026-09-18,221.39999389648438,0.0,,0.0,HOLD,price above SMA200 (long-term uptrend); SMA50 above SMA200 (golden-cross state); price below SMA20 (short-term downtrend); MACD below signal line (bearish); MACD histogram negative (momentum fading)
ACT.WA,2026-09-18,43.95000076293945,0.0,,0.0,HOLD,price above SMA200 (long-term uptrend); SMA50 above SMA200 (golden-cross state); price below SMA20 (short-term downtrend); MACD below signal line (bearish); MACD histogram negative (momentum fading)
ADV.WA,2026-09-18,0.6840000152587891,40.0,,40.0,BUY,price above SMA200 (long-term uptrend); SMA50 below SMA200 (death-cross state); price above SMA20 (short-term uptrend); MACD above signal line (bullish); MACD histogram positive (momentum building)
ADX.WA,2026-09-18,1.3799999952316284,20.0,,20.0,HOLD,price above SMA200 (long-term uptrend); SMA50 above SMA200 (golden-cross state); price below SMA20 (short-term downtrend); MACD below signal line (bearish); MACD histogram negative (momentum fading); price at/below lower Bollinger Band (potentially oversold)
AGO.WA,2026-09-18,10.149999618530273,60.0,,60.0,BUY,price above SMA200 (long-term uptrend); SMA50 above SMA200 (golden-cross state); price above SMA20 (short-term uptrend); MACD above signal line (bullish); MACD histogram positive (momentum building)
AGT.WA,2026-09-18,4.244999885559082,-20.0,,-20.0,HOLD,price below SMA200 (long-term downtrend); SMA50 below SMA200 (death-cross state); price below SMA20 (short-term downtrend); MACD above signal line (bullish); MACD histogram positive (momentum building)
ALE.WA,2026-09-18,49.79999923706055,20.0,,20.0,HOLD,price above SMA200 (long-term uptrend); SMA50 above SMA200 (golden-cross state); price above SMA20 (short-term uptrend); RSI overbought (75.7 > 70); MACD above signal line (bullish); MACD histogram positive (momentum building); price at/above upper Bollinger Band (potentially overbought)
ALG.WA,2026-09-18,0.6980000138282776,-40.0,,-40.0,SELL,price below SMA200 (long-term downtrend); SMA50 below SMA200 (death-cross state); price below SMA20 (short-term downtrend); MACD below signal line (bearish); MACD histogram negative (momentum fading); price at/below lower Bollinger Band (potentially oversold)
ALI.WA,2026-09-18,3.5399999618530273,0.0,,0.0,HOLD,price above SMA200 (long-term uptrend); SMA50 above SMA200 (golden-cross state); price below SMA20 (short-term downtrend); MACD below signal line (bearish); MACD histogram negative (momentum fading)
ALL.WA,2026-09-18,15.15999984741211,-60.0,,-60.0,SELL,price below SMA200 (long-term downtrend); SMA50 below SMA200 (death-cross state); price below SMA20 (short-term downtrend); MACD below signal line (bearish); MACD histogram negative (momentum fading)
ALR.WA,2026-09-18,131.14999389648438,0.0,,0.0,HOLD,price above SMA200 (long-term uptrend); SMA50 above SMA200 (golden-cross state); price below SMA20 (short-term downtrend); MACD below signal line (bearish); MACD histogram negative (momentum fading)
AMB.WA,2026-09-18,19.100000381469727,40.0,,40.0,BUY,price above SMA200 (long-term uptrend); SMA50 above SMA200 (golden-cross state); price above SMA20 (short-term uptrend); MACD above signal line (bullish); MACD histogram positive (momentum building); price at/above upper Bollinger Band (potentially overbought)
AMC.WA,2026-09-18,47.5,-60.0,,-60.0,SELL,price below SMA200 (long-term downtrend); SMA50 below SMA200 (death-cross state); price below SMA20 (short-term downtrend); MACD below signal line (bearish); MACD histogram negative (momentum fading)
ANR.WA,2026-09-18,21.799999237060547,0.0,,0.0,HOLD,price above SMA200 (long-term uptrend); SMA50 below SMA200 (death-cross state); price above SMA20 (short-term uptrend); MACD below signal line (bearish); MACD histogram negative (momentum fading)
