symbol,description,asset_class,category_name,group_name,currency,currency_profit,ticker,market,market_name,precision,contract_size,leverage,long_only,short_selling,margin_mode,instrument_type
A.US,"AGILENT TECHNOLOGIES, INC.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,A,US,United States,,,,,,,
AA.US,Alcoa Corp,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,AA,US,United States,,,,,,,
AAAU.US,Goldman Sachs Physical Gold ETF,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,AAAU,US,United States,,,,,,,
AAC-UN.US,Ares Acquisition Corp III,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,AAC-UN,US,United States,,,,,,,
AAC-WT.US,Ares Acquisition Corp III,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,AAC-WT,US,United States,,,,,,,
AAC.US,Ares Acquisition Corp III,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,AAC,US,United States,,,,,,,
AACG.US,ATA Creativity Global,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,AACG,US,United States,,,,,,,
AACI.US,Armada Acquisition Corp. III,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,AACI,US,United States,,,,,,,
AACIU.US,Armada Acquisition Corp. III,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,AACIU,US,United States,,,,,,,
AACIW.US,Armada Acquisition Corp. III,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,AACIW,US,United States,,,,,,,
AACO.US,Abony Acquisition Corp. I,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,AACO,US,United States,,,,,,,
AACOU.US,Abony Acquisition Corp. I,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,AACOU,US,United States,,,,,,,
AACOW.US,Abony Acquisition Corp. I,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,AACOW,US,United States,,,,,,,
AACP.US,Apogee Acquisition Corp,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,AACP,US,United States,,,,,,,
AACPR.US,Apogee Acquisition Corp,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,AACPR,US,United States,,,,,,,
AACPU.US,Apogee Acquisition Corp,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,AACPU,US,United States,,,,,,,
AACPW.US,Apogee Acquisition Corp,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,AACPW,US,United States,,,,,,,
AADX.US,"Applied Aerospace & Defense, Inc.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,AADX,US,United States,,,,,,,
AAGH.US,America Great Health,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,AAGH,US,United States,,,,,,,
AAL.US,American Airlines Group Inc.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,AAL,US,United States,,,,,,,
AAME.US,ATLANTIC AMERICAN CORP,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,AAME,US,United States,,,,,,,
AAMI.US,Acadian Asset Management Inc.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,AAMI,US,United States,,,,,,,
AAOI.US,"APPLIED OPTOELECTRONICS, INC.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,AAOI,US,United States,,,,,,,
AAON.US,"AAON, INC.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,AAON,US,United States,,,,,,,
AAP.US,ADVANCE AUTO PARTS INC,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,AAP,US,United States,,,,,,,
AAPG.US,ASCENTAGE PHARMA GROUP INTERNATIONAL,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,AAPG,US,United States,,,,,,,
AAPI.US,"Apple iSports Group, Inc.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,AAPI,US,United States,,,,,,,
AAPL.US,Apple Inc.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,AAPL,US,United States,,,,,,,
AAQL.US,Antiaging Quantum Living Inc.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,AAQL,US,United States,,,,,,,
AARD.US,"Aardvark Therapeutics, Inc.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,AARD,US,United States,,,,,,,
AASP.US,Agassi Sports Entertainment Corp.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,AASP,US,United States,,,,,,,
AAT.US,"American Assets Trust, Inc.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,AAT,US,United States,,,,,,,
AATC.US,AUTOSCOPE TECHNOLOGIES CORP,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,AATC,US,United States,,,,,,,
AAUAF.US,ALMADEN MINERALS LTD,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,AAUAF,US,United States,,,,,,,
AAUC.US,Allied Gold Corp,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,AAUC,US,United States,,,,,,,
AAVXF.US,Abivax S.A.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,AAVXF,US,United States,,,,,,,
AAWH.US,"Ascend Wellness Holdings, Inc.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,AAWH,US,United States,,,,,,,
AB.US,ALLIANCEBERNSTEIN HOLDING L.P.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,AB,US,United States,,,,,,,
ABAKF.US,"ABRDN ASIA-PACIFIC INCOME FUND, INC.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ABAKF,US,United States,,,,,,,
ABAT.US,AMERICAN BATTERY TECHNOLOGY Co,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ABAT,US,United States,,,,,,,
ABBNY.US,ABB LTD,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ABBNY,US,United States,,,,,,,
ABBV.US,AbbVie Inc.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ABBV,US,United States,,,,,,,
ABCB.US,Ameris Bancorp,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ABCB,US,United States,,,,,,,
ABCFF.US,ABACUS MINING & EXPLORATION CORP,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ABCFF,US,United States,,,,,,,
ABCL.US,AbCellera Biologics Inc.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ABCL,US,United States,,,,,,,
ABCP.US,AmBase Corp,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ABCP,US,United States,,,,,,,
ABEO.US,ABEONA THERAPEUTICS INC.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ABEO,US,United States,,,,,,,
ABEV.US,AMBEV S.A.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ABEV,US,United States,,,,,,,
ABG.US,ASBURY AUTOMOTIVE GROUP INC,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ABG,US,United States,,,,,,,
ABIT.US,Athena Bitcoin Global,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ABIT,US,United States,,,,,,,
ABLV.US,Able View Global Inc.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ABLV,US,United States,,,,,,,
ABLVW.US,Able View Global Inc.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ABLVW,US,United States,,,,,,,
