symbol,ticker,market,currency,yahoo_symbol,figi
A.US,A,US,USD,A,
AA.US,AA,US,USD,AA,
AAAU.US,AAAU,US,USD,AAAU,
AAC-UN.US,AAC-UN,US,USD,AAC-UN,
AAC-WT.US,AAC-WT,US,USD,AAC-WT,
AAC.US,AAC,US,USD,AAC,
AACG.US,AACG,US,USD,AACG,
AACI.US,AACI,US,USD,AACI,
AACIU.US,AACIU,US,USD,AACIU,
AACIW.US,AACIW,US,USD,AACIW,
AACO.US,AACO,US,USD,AACO,
AACOU.US,AACOU,US,USD,AACOU,
AACOW.US,AACOW,US,USD,AACOW,
AACP.US,AACP,US,USD,AACP,
AACPR.US,AACPR,US,USD,AACPR,
AACPU.US,AACPU,US,USD,AACPU,
AACPW.US,AACPW,US,USD,AACPW,
AADX.US,AADX,US,USD,AADX,
AAGH.US,AAGH,US,USD,AAGH,
AAL.US,AAL,US,USD,AAL,
AAME.US,AAME,US,USD,AAME,
AAMI.US,AAMI,US,USD,AAMI,
AAOI.US,AAOI,US,USD,AAOI,
AAON.US,AAON,US,USD,AAON,
AAP.US,AAP,US,USD,AAP,
AAPG.US,AAPG,US,USD,AAPG,
AAPI.US,AAPI,US,USD,AAPI,
AAPL.US,AAPL,US,USD,AAPL,BBG000B9XRY4
AAQL.US,AAQL,US,USD,AAQL,
AARD.US,AARD,US,USD,AARD,
AASP.US,AASP,US,USD,AASP,
AAT.US,AAT,US,USD,AAT,
AATC.US,AATC,US,USD,AATC,
AAUAF.US,AAUAF,US,USD,AAUAF,
AAUC.US,AAUC,US,USD,AAUC,
AAVXF.US,AAVXF,US,USD,AAVXF,
AAWH.US,AAWH,US,USD,AAWH,
AB.US,AB,US,USD,AB,
ABAKF.US,ABAKF,US,USD,ABAKF,
ABAT.US,ABAT,US,USD,ABAT,
ABBNY.US,ABBNY,US,USD,ABBNY,
ABBV.US,ABBV,US,USD,ABBV,BBG0025Y4RY4
ABCB.US,ABCB,US,USD,ABCB,
ABCFF.US,ABCFF,US,USD,ABCFF,
ABCL.US,ABCL,US,USD,ABCL,
ABCP.US,ABCP,US,USD,ABCP,
ABEO.US,ABEO,US,USD,ABEO,
ABEV.US,ABEV,US,USD,ABEV,
ABG.US,ABG,US,USD,ABG,
ABIT.US,ABIT,US,USD,ABIT,
ABLV.US,ABLV,US,USD,ABLV,
ABLVW.US,ABLVW,US,USD,ABLVW,
ABLZF.US,ABLZF,US,USD,ABLZF,
ABM.US,ABM,US,USD,ABM,
ABNB.US,ABNB,US,USD,ABNB,
ABOS.US,ABOS,US,USD,ABOS,
ABPO.US,ABPO,US,USD,ABPO,
ABPWW.US,ABPWW,US,USD,ABPWW,
ABR-PD.US,ABR-PD,US,USD,ABR-PD,
ABR-PE.US,ABR-PE,US,USD,ABR-PE,
ABR-PF.US,ABR-PF,US,USD,ABR-PF,
ABR.US,ABR,US,USD,ABR,
ABSI.US,ABSI,US,USD,ABSI,
ABT.US,ABT,US,USD,ABT,
ABTC.US,ABTC,US,USD,ABTC,
ABTS.US,ABTS,US,USD,ABTS,
ABUS.US,ABUS,US,USD,ABUS,
ABVC.US,ABVC,US,USD,ABVC,
ABVEF.US,ABVEF,US,USD,ABVEF,
ABVX.US,ABVX,US,USD,ABVX,
ABX.US,ABX,US,USD,ABX,
ABXL.US,ABXL,US,USD,ABXL,
ABXXF.US,ABXXF,US,USD,ABXXF,
ACA.US,ACA,US,USD,ACA,
ACAA.US,ACAA,US,USD,ACAA,
ACAAU.US,ACAAU,US,USD,ACAAU,
ACAAW.US,ACAAW,US,USD,ACAAW,
ACAD.US,ACAD,US,USD,ACAD,
ACAT.US,ACAT,US,USD,ACAT,
ACB.US,ACB,US,USD,ACB,
ACBM.US,ACBM,US,USD,ACBM,
ACCL.US,ACCL,US,USD,ACCL,
ACCO.US,ACCO,US,USD,ACCO,
