symbol,date,close,technical_score,fundamental_score,composite_score,verdict,rationale
AAPL,2026-09-14,333.0799865722656,60.0,60.0,60.0,BUY,price above SMA200 (long-term uptrend); SMA50 above SMA200 (golden-cross state); price above SMA20 (short-term uptrend); MACD above signal line (bullish); MACD histogram positive (momentum building); strong net margin (26.9% > 15%); positive revenue growth (6.4% YoY)
ABBV,2026-09-14,261.7699890136719,20.0,,20.0,HOLD,price above SMA200 (long-term uptrend); SMA50 above SMA200 (golden-cross state); price above SMA20 (short-term uptrend); MACD below signal line (bearish); MACD histogram negative (momentum fading)
AMAT,2026-09-14,424.2099914550781,0.0,,0.0,HOLD,price above SMA200 (long-term uptrend); SMA50 above SMA200 (golden-cross state); price below SMA20 (short-term downtrend); MACD below signal line (bearish); MACD histogram negative (momentum fading)
AMD,2026-09-14,493.4100036621094,60.0,,60.0,BUY,price above SMA200 (long-term uptrend); SMA50 above SMA200 (golden-cross state); price above SMA20 (short-term uptrend); MACD above signal line (bullish); MACD histogram positive (momentum building)
AMZN,2026-09-14,253.5399932861328,0.0,,0.0,HOLD,price above SMA200 (long-term uptrend); SMA50 above SMA200 (golden-cross state); price below SMA20 (short-term downtrend); MACD below signal line (bearish); MACD histogram negative (momentum fading)
ARM,2026-09-14,239.00999450683594,40.0,,40.0,BUY,price above SMA200 (long-term uptrend); SMA50 above SMA200 (golden-cross state); price below SMA20 (short-term downtrend); MACD above signal line (bullish); MACD histogram positive (momentum building)
ASML,2026-09-14,1575.1500244140625,20.0,,20.0,HOLD,price above SMA200 (long-term uptrend); SMA50 above SMA200 (golden-cross state); price below SMA20 (short-term downtrend); MACD below signal line (bearish); MACD histogram negative (momentum fading); price at/below lower Bollinger Band (potentially oversold)
AVGO,2026-09-14,344.7200012207031,-20.0,,-20.0,HOLD,price below SMA200 (long-term downtrend); SMA50 above SMA200 (golden-cross state); price below SMA20 (short-term downtrend); MACD below signal line (bearish); MACD histogram negative (momentum fading); price at/below lower Bollinger Band (potentially oversold)
BABA,2026-09-14,109.2300033569336,-60.0,,-60.0,SELL,price below SMA200 (long-term downtrend); SMA50 below SMA200 (death-cross state); price below SMA20 (short-term downtrend); MACD below signal line (bearish); MACD histogram negative (momentum fading)
BAC,2026-09-14,59.470001220703125,20.0,,20.0,HOLD,price above SMA200 (long-term uptrend); SMA50 above SMA200 (golden-cross state); price below SMA20 (short-term downtrend); MACD below signal line (bearish); MACD histogram negative (momentum fading); price at/below lower Bollinger Band (potentially oversold)
BRK-B,2026-09-14,514.9500122070312,40.0,,40.0,BUY,price above SMA200 (long-term uptrend); SMA50 above SMA200 (golden-cross state); price above SMA20 (short-term uptrend); MACD above signal line (bullish); MACD histogram positive (momentum building); price at/above upper Bollinger Band (potentially overbought)
CAT,2026-09-14,784.0,40.0,,40.0,BUY,price above SMA200 (long-term uptrend); SMA50 above SMA200 (golden-cross state); price below SMA20 (short-term downtrend); MACD above signal line (bullish); MACD histogram positive (momentum building)
COST,2026-09-14,918.9099731445312,-60.0,,-60.0,SELL,price below SMA200 (long-term downtrend); SMA50 below SMA200 (death-cross state); price below SMA20 (short-term downtrend); MACD below signal line (bearish); MACD histogram negative (momentum fading)
CSCO,2026-09-14,110.05999755859375,40.0,,40.0,BUY,price above SMA200 (long-term uptrend); SMA50 above SMA200 (golden-cross state); price below SMA20 (short-term downtrend); MACD above signal line (bullish); MACD histogram positive (momentum building)
CVX,2026-09-14,212.1699981689453,60.0,,60.0,BUY,price above SMA200 (long-term uptrend); SMA50 above SMA200 (golden-cross state); price above SMA20 (short-term uptrend); MACD above signal line (bullish); MACD histogram positive (momentum building)
CYATY,2026-09-14,17.440000534057617,-14.285714285714286,,-14.285714285714286,HOLD,price below SMA20 (short-term downtrend); RSI oversold (29.8 < 30); MACD below signal line (bearish); MACD histogram negative (momentum fading)
DELL,2026-09-14,534.280029296875,60.0,,60.0,BUY,price above SMA200 (long-term uptrend); SMA50 above SMA200 (golden-cross state); price above SMA20 (short-term uptrend); MACD above signal line (bullish); MACD histogram positive (momentum building)
GE,2026-09-14,317.55999755859375,-40.0,,-40.0,SELL,price below SMA200 (long-term downtrend); SMA50 above SMA200 (golden-cross state); price below SMA20 (short-term downtrend); MACD below signal line (bearish); MACD histogram negative (momentum fading)
GOOGL,2026-09-14,349.3900146484375,60.0,,60.0,BUY,price above SMA200 (long-term uptrend); SMA50 above SMA200 (golden-cross state); price above SMA20 (short-term uptrend); MACD above signal line (bullish); MACD histogram positive (momentum building)
GS,2026-09-14,988.4500122070312,20.0,,20.0,HOLD,price above SMA200 (long-term uptrend); SMA50 above SMA200 (golden-cross state); price below SMA20 (short-term downtrend); MACD below signal line (bearish); MACD histogram negative (momentum fading); price at/below lower Bollinger Band (potentially oversold)
HD,2026-09-14,310.8699951171875,-60.0,,-60.0,SELL,price below SMA200 (long-term downtrend); SMA50 below SMA200 (death-cross state); price below SMA20 (short-term downtrend); MACD below signal line (bearish); MACD histogram negative (momentum fading)
HSBC,2026-09-14,103.94000244140625,0.0,,0.0,HOLD,price above SMA200 (long-term uptrend); SMA50 above SMA200 (golden-cross state); price below SMA20 (short-term downtrend); MACD below signal line (bearish); MACD histogram negative (momentum fading)
INTC,2026-09-14,97.19000244140625,60.0,,60.0,BUY,price above SMA200 (long-term uptrend); SMA50 above SMA200 (golden-cross state); price above SMA20 (short-term uptrend); MACD above signal line (bullish); MACD histogram positive (momentum building)
