symbol,date,close,sma_20,sma_50,sma_200,ema_12,ema_26,rsi_14,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,atr_14
AAPL,2026-09-14,333.0799865722656,317.9834976196289,318.4631994628906,285.2391493225098,323.0442212075412,319.1101559155122,63.31557138138918,3.934065292029004,2.3086135583474405,1.6254517336815635,333.61444909126755,317.9834976196289,302.35254614799027,7.768856498954842
ABBV,2026-09-14,261.7699890136719,258.8614974975586,254.5213995361328,228.8973494720459,257.0988201348372,256.09686194826,56.877108291510474,1.0019581865771556,1.4938549144912388,-0.4918967279140831,268.77970800083966,258.8614974975586,248.94328699427757,5.870783401084951
AMAT,2026-09-14,424.2099914550781,471.40150299072263,513.2767993164063,412.76769958496095,457.7886001625912,477.93708858377676,34.68972777637809,-20.14848842118556,-19.549365080140394,-0.5991233410451677,525.3325358860135,471.40150299072263,417.4704700954318,22.508774297704356
AMD,2026-09-14,493.4100036621094,480.9864990234375,496.0606005859375,348.30435020446777,490.87829618830267,487.5533182506517,51.52950816813377,3.3249779376509423,-1.8783613578758984,5.203339295526841,520.4181873968131,480.9864990234375,441.5548106500619,23.58165082987022
AMZN,2026-09-14,253.5399932861328,258.5049987792969,255.47019927978516,239.9339998626709,256.4970355759653,257.5516660966712,45.842452004740984,-1.0546305207059277,0.0067216018662581145,-1.0613521225721858,266.16574085548666,258.5049987792969,250.84425670310713,6.210391989322318
ARM,2026-09-14,239.00999450683594,249.19000091552735,265.5501998901367,204.83197490692137,251.42270665595663,255.82820123246924,42.92818195944831,-4.405494576512609,-6.564680664445817,2.1591860879332074,269.8046591728461,249.19000091552735,228.57534265820865,16.735948162182105
ASML,2026-09-14,1575.1500244140625,1723.6385131835937,1734.98919921875,1497.9140487670898,1691.6939421878633,1714.4024916103513,36.08175171439584,-22.708549422487977,-12.890038263085792,-9.818511159402185,1845.7903548114446,1723.6385131835937,1601.4866715557428,59.77727294291327
AVGO,2026-09-14,344.7200012207031,365.08049926757815,382.7709991455078,370.0365501403809,362.46175056808556,371.0746498691639,34.32300657688256,-8.612899301078357,-7.798537954374183,-0.8143613467041746,384.4062053987901,365.08049926757815,345.7547931363662,12.460595257067023
BABA,2026-09-14,109.2300033569336,116.87299919128418,117.54080001831055,134.27349990844726,112.59413201003284,115.70719297317947,36.497613512669865,-3.113060963146637,-2.0710258225769747,-1.0420351405696624,130.25511032333273,116.87299919128418,103.49088805923563,3.217793719147508
BAC,2026-09-14,59.470001220703125,62.367499923706056,62.018799743652345,55.131149978637694,62.07682778386152,62.17218296651054,34.01497014155149,-0.09535518264902265,0.1644432320049357,-0.25979841465395836,64.27358389052658,62.367499923706056,60.46141595688554,1.3005451694505261
BRK-B,2026-09-14,514.9500122070312,504.31849975585936,503.99199829101565,492.5432495117187,507.6638292455242,506.148685963194,62.577725393589795,1.5151432823302002,0.7021458482532885,0.8129974340769117,513.0050077827063,504.31849975585936,495.6319917290123,6.086570514438279
CAT,2026-09-14,784.0,813.6025024414063,852.5938000488281,779.6629489135743,807.9887888431042,822.2347771163946,39.46287718891829,-14.245988273290436,-16.207001326823093,1.9610130535326569,856.0276305013147,813.6025024414063,771.1773743814979,26.589313575846496
COST,2026-09-14,918.9099731445312,935.6534942626953,940.1297973632812,960.6361480712891,921.3573822342574,932.5384462503066,43.41241624834169,-11.181064016049163,-7.814415451587706,-3.3666485644614568,977.352487560034,935.6534942626953,893.9545009653566,15.543453126830709
CSCO,2026-09-14,110.05999755859375,110.35999984741211,113.67519973754882,95.57810001373291,110.16970737649983,111.55369822429411,46.130890476749315,-1.38399084779428,-1.5442618308989733,0.16027098310469334,113.07011478836584,110.35999984741211,107.64988490645838,2.7623379345225603
CVX,2026-09-14,212.1699981689453,207.07750091552734,195.60160034179688,182.6560501098633,209.72404168571757,204.72936868183152,64.44233457647798,4.994673003886049,4.8686288140209,0.12604418986514965,216.47767766966862,207.07750091552734,197.67732416138605,4.339760367814827
CYATY,2026-09-14,17.440000534057617,19.025500106811524,19.62379997253418,,18.220629477278433,18.96188278102618,29.795098637926614,-0.7412533037477473,-0.5767496016497833,-0.16450370209796406,21.246170765916425,19.025500106811524,16.804829447706624,0.6299285636019206
